Ticker,Company,Sector,# Employees
TECH,Bio-Techne Corp,Health Technology,"                2,600"
EQR,Equity Residential,Finance,"                2,600"
MAA,"Mid-America Apartment Communities, Inc.",Finance,"                2,530"
APA,APA Corporation,Energy Minerals,"                2,272"
MPWR,"Monolithic Power Systems, Inc.",Electronic Technology,"                2,209"
PLD,"Prologis, Inc.",Finance,"                1,945"
MTCH,"Match Group, Inc.",Technology Services,"                1,900"
PXD,Pioneer Natural Resources Company,Energy Minerals,"                1,853"
ESS,"Essex Property Trust, Inc.",Finance,"                1,799"
INCY,Incyte Corporation,Health Technology,"                1,773"
RE,"Everest Re Group, Ltd.",Finance,"                1,746"
ABMD,"ABIOMED, Inc.",Health Technology,"                1,725"
MRO,Marathon Oil Corporation,Energy Minerals,"                1,672"
SBNY,Signature Bank,Finance,"                1,652"
HES,Hess Corporation,Energy Minerals,"                1,621"
SBAC,SBA Communications Corporation,Finance,"                1,483"
ETSY,"Etsy, Inc.",Retail Trade,"                1,414"
DVN,Devon Energy Corporation,Energy Minerals,"                1,400"
MRNA,"Moderna, Inc.",Health Technology,"                1,300"
UDR,"UDR, Inc.",Finance,"                1,271"
CBOE,"Cboe Global Markets, Inc.",Finance,"                1,010"
VRSN,"VeriSign, Inc.",Technology Services,                   909
ENPH,"Enphase Energy, Inc.",Electronic Technology,                   850
BXP,"Boston Properties, Inc.",Finance,                   750
FANG,"Diamondback Energy, Inc. – Commmon Stock",Energy Minerals,                   732
MKTX,"MarketAxess Holdings, Inc.",Finance,                   606
CTRA,Coterra Energy Inc.,Energy Minerals,                   503
KIM,Kimco Realty Corporation,Finance,                   484
ARE,"Alexandria Real Estate Equities, Inc.",Finance,                   470
VTR,"Ventas, Inc.",Finance,                   448
REG,Regency Centers Corporation,Finance,                   431
WELL,Welltower Inc.,Finance,                   423
DRE,Duke Realty Corporation,Finance,                   350
FRT,Federal Realty Investment Trust,Finance,                   307
PEAK,"Healthpeak Properties, Inc.",Finance,                   217
O,Realty Income Corporation,Finance,                   210
HST,Host Hotels,Finance,                   163
PNW,Pinnacle West Capital Corporation,Utilities,                     88
