Ticker,Company,Sector,# Employees
DVA,DaVita Inc.,Health Services,"              67,000"
WDC,Western Digital Corporation,Electronic Technology,"              65,600"
OMC,Omnicom Group Inc.,Commercial Services,"              64,100"
AXP,American Express Company,Finance,"              63,700"
EL,"Estee Lauder Companies, Inc. (The)",Consumer Non-Durables,"              62,000"
FIS,"Fidelity National Information Services, Inc.",Technology Services,"              62,000"
SHW,Sherwin-Williams Company (The),Process Industries,"              61,031"
HPE,Hewlett Packard Enterprise Company,Electronic Technology,"              60,400"
FB,"Meta Platforms, Inc.",Technology Services,"              58,604"
SYY,Sysco Corporation,Distribution Services,"              58,000"
MPC,Marathon Petroleum Corporation,Energy Minerals,"              57,900"
CMI,Cummins Inc.,Producer Manufacturing,"              57,825"
CRM,Salesforce.com Inc,Technology Services,"              56,606"
LUV,Southwest Airlines Company,Transportation,"              56,500"
ADP,"Automatic Data Processing, Inc.",Technology Services,"              56,000"
CARR,Carrier Global Corporation,Producer Manufacturing,"              56,000"
BKR,Baker Hughes Company,Industrial Services,"              55,000"
J,Jacobs Engineering Group Inc.,Industrial Services,"              55,000"
PH,Parker-Hannifin Corporation,Producer Manufacturing,"              54,640"
SWK,"Stanley Black & Decker, Inc.",Consumer Durables,"              53,100"
COF,Capital One Financial Corporation,Finance,"              51,985"
PNC,"PNC Financial Services Group, Inc. (The)",Finance,"              51,257"
HPQ,HP Inc.,Electronic Technology,"              51,000"
IPG,"Interpublic Group of Companies, Inc. (The)",Commercial Services,"              50,200"
GLW,Corning Incorporated,Electronic Technology,"              50,110"
AON,Aon plc,Finance,"              50,000"
BAX,Baxter International Inc.,Health Technology,"              50,000"
GPC,Genuine Parts Company,Distribution Services,"              50,000"
WRK,Westrock Company,Process Industries,"              49,900"
BWA,BorgWarner Inc.,Producer Manufacturing,"              49,700"
HUM,Humana Inc.,Health Services,"              49,600"
IP,International Paper Company,Process Industries,"              49,300"
DGX,Quest Diagnostics Incorporated,Health Services,"              49,000"
BK,The Bank of New York Mellon Corporation,Finance,"              48,500"
WM,"Waste Management, Inc.",Industrial Services,"              48,250"
LHX,"L3Harris Technologies, Inc.",Electronic Technology,"              48,000"
CVX,Chevron Corporation,Energy Minerals,"              47,736"
CAH,"Cardinal Health, Inc.",Distribution Services,"              47,300"
ABBV,AbbVie Inc.,Health Technology,"              47,000"
PPG,"PPG Industries, Inc.",Process Industries,"              46,900"
MET,"MetLife, Inc.",Finance,"              46,500"
WLTW,Willis Towers Watson Public Limited Company,Finance,"              46,100"
AMCR,Amcor plc,Process Industries,"              46,000"
KMB,Kimberly-Clark Corporation,Consumer Non-Durables,"              46,000"
LVS,Las Vegas Sands Corp.,Consumer Services,"              46,000"
AIG,"American International Group, Inc. New",Finance,"              45,000"
QCOM,QUALCOMM Incorporated,Electronic Technology,"              45,000"
VTRS,Viatris Inc.,Health Technology,"              45,000"
ECL,Ecolab Inc.,Process Industries,"              44,000"
FISV,"Fiserv, Inc.",Technology Services,"              44,000"
LKQ,LKQ Corporation,Consumer Durables,"              44,000"
PGR,Progressive Corporation (The),Finance,"              43,326"
ITW,Illinois Tool Works Inc.,Producer Manufacturing,"              43,000"
MU,"Micron Technology, Inc.",Electronic Technology,"              43,000"
NLSN,Nielsen N.V.,Commercial Services,"              43,000"
SYK,Stryker Corporation,Health Technology,"              43,000"
TSCO,Tractor Supply Company,Retail Trade,"              42,500"
ALL,Allstate Corporation (The),Finance,"              42,160"
ABC,AmerisourceBergen Corporation,Distribution Services,"              42,000"
